District,Sub-District,Estate,Total po...Total population,Sex ratio,< 15,15 - 39,40 - 64,65+,Male,Female,Both sexes,Never-ma...Never-married male,Never-ma...Never-married female,Cantonese,Putonghu...Putonghua and other Chinese dialects,English ...English and other languages,Hong Kong,The main...The mainland of China/ Macao/ Taiwan,Elsewhere,Primary ...Primary and below,Secondary,Post-sec...Post-secondary,Studying...Studying and living  in the same District Council district,Mass Tra...Mass Transit Railway,On foot only,Bus,School b...School bus/ school private light bus,Others,Working ...Working population,Employees,Employers,Self-emp...Self-employed and unpaid family workers,Non-work...Non-working population,Students,Non-students,Managers...Managers and administrators,Professi...Professionals and associate professionals,"Clerical...Clerical support, service and sales workers","Craft an...Craft and related workers, plant and machine operators and assemblers","Elementa...Elementary occupations , skilled agricultural and fishery workers and occupations not classifiable","Import/e...Import/export, wholesale and retail trades, accommodation and food services","Transpor...Transportation, storage, postal and courier services, information and communications, financing and insurance, real estate, professional and business services","Public a...Public administration, education, human health and social work activities, miscellaneous social and personal services","Manufact...Manufacturing, construction, and other industries",Upper qu...Upper quartile,Median,Lower qu...Lower quartile,Upper qu...Upper quartile,Median,Lower qu...Lower quartile,Upper qu...Upper quartile,Median,Lower qu...Lower quartile,Upper qu...Upper quartile,Median,Lower qu...Lower quartile,Working ...Working and living in the same District Council district(including those working at home)^,Mass Tra...Mass Transit Railway,Bus,On foot only,Public l...Public light bus,Others,Number o...Number of domestic households,1-3,4,5+,Average ...Average domestic household size,Nuclear ...Nuclear family households,Relative...Relative households,Other ho...Other households,Upper qu...Upper quartile,Median,Lower qu...Lower quartile,Upper qu...Upper quartile,Median,Lower qu...Lower quartile,Median age,Chinese,Non-Chinese,1-2,3,4,5+,Without ...Without exclusively used rooms,Per dome...Per domestic household,Per person,Upper qu...Upper quartile,Median,Lower qu...Lower quartile,"Owner-oc...Owner-occupier, with mortgage payment or loan repayment","Owner-oc...Owner-occupier, without mortgage payment and loan repayment",Sole tenant,Others ,Median m...Median monthly mortgage payment and loan repayment,Median m...Median mortgage payment and loan repayment to income ratio,Median o...Median outstanding period of mortgage payment or loan repayment,Median m...Median monthly household rent,Median h...Median household rent to income ratio,Remained...Remained in same address,Resided ...Resided in same District Council district (having migrated),Resided ...Resided in different District Council district (having migrated) ,Resided ...Resided outside Hong Kong
Tai Po,Tai Po Town Centre,(Tai Po Town Centre) Tai Po Plaza Block 4-5 (On Tai Road 1980's private residential buildings)                                                                                                                                                                ,1373,693,11.1%,33.2%,48.2%,7.4%,44.3,41.9,43.2,24.3%,27.8%,99.4%,0.0%,0.6%,85.9%,9.5%,4.6%,19.5%,45.1%,35.4%,70.6%,22.2%,38.1%,25.3%,0.0%,14.4%,803,91.3%,2.7%,6.0%,570,34.0%,66.0%,11.1%,26.0%,40.5%,11.5%,11.0%,35.2%,29.9%,23.9%,11.0%,HK$22000,HK$15500,HK$10000,HK$25000,HK$16000,HK$12250,55hours,45hours,40hours,54hours,45hours,40hours,27.7%,23.5%,55.2%,10.3%,0.0%,11.0%,(N.A.)–Not available,70.7%,23.3%,6.0%,2.9,64.4%,18.5%,17.0%,HK$51740,HK$33400,HK$15000,HK$47490,HK$33400,HK$15000,56.1,100.0%,0.0%,0.0%,82.1%,15.9%,1.9%,0.0%,3.20rooms,1.09rooms,44m²,40m²,39m²,21.3%,67.9%,8.2%,2.6%,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,90.0%,6.5%,0.0%,3.5%
Tai Po,Tai Po Town Centre,(Tai Po Town Centre) Sun Hing Garden - Hong Man / Hong Shing Court (On Po Lane 1980's private residential buildings)                                                                                                                                          ,1493,909,11.1%,34.8%,42.9%,11.3%,43.1,40.8,41.8,29.1%,22.1%,96.3%,0.8%,3.0%,77.2%,18.3%,4.5%,10.3%,59.3%,30.4%,58.7%,26.6%,33.2%,6.0%,21.2%,13.0%,851,87.0%,4.2%,8.8%,642,26.3%,73.7%,2.6%,27.8%,40.2%,13.6%,15.7%,23.0%,37.3%,26.4%,13.3%,HK$25510,HK$17000,HK$10000,HK$27200,HK$17500,HK$10500,55hours,44hours,40hours,55hours,44hours,40hours,24.1%,39.1%,36.1%,11.3%,3.7%,9.8%,(N.A.)–Not available,72.6%,21.7%,5.7%,3.0,78.7%,16.5%,4.9%,HK$50000,HK$37000,HK$19890,HK$50000,HK$37000,HK$19890,53.5,100.0%,0.0%,7.5%,43.3%,47.2%,2.0%,0.0%,3.39rooms,1.12rooms,55m²,55m²,43m²,39.4%,53.3%,7.3%,0.0%,HK$7500,15.1%,9years,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,72.8%,18.7%,5.8%,2.7%
Tai Po,Tai Po Town Centre,(Tai Po Town Centre) Sun Hing Garden - Hong Shun / Hong Yan / Hong Che Court (On Po Lane 1980's private residential buildings)                                                                                                                                ,2848,879,11.1%,34.0%,41.0%,13.9%,46.3,42.4,45.2,28.1%,28.2%,97.4%,1.3%,1.3%,77.2%,17.6%,5.2%,18.3%,45.5%,36.2%,59.2%,29.5%,37.6%,16.8%,10.6%,5.5%,1466,94.5%,1.0%,4.5%,1382,29.2%,70.8%,10.4%,37.1%,30.3%,13.8%,8.5%,27.4%,34.4%,25.8%,12.4%,HK$25000,HK$15500,HK$10000,HK$25000,HK$17000,HK$10000,50hours,44hours,40hours,49hours,43hours,40hours,28.1%,44.1%,24.5%,13.1%,3.2%,15.0%,(N.A.)–Not available,69.7%,20.3%,10.0%,2.9,73.0%,14.0%,12.9%,HK$47190,HK$30000,HK$13500,HK$47190,HK$30000,HK$13500,55.5,100.0%,0.0%,4.6%,54.8%,35.6%,5.0%,0.0%,3.40rooms,1.16rooms,55m²,43m²,39m²,21.5%,69.9%,3.7%,4.8%,HK$7700,17.2%,24years,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,86.2%,6.7%,5.2%,1.8%
Tai Po,Tai Po Town Centre,(Tai Po Town Centre) Ting Nga Court (Ting Kok Road 1980's private residential buildings)                                                                                                                                                                      ,1211,742,17.8%,29.1%,40.5%,12.6%,45.5,39.4,40.9,20.0%,23.3%,96.5%,2.3%,1.2%,80.5%,14.1%,5.4%,19.5%,48.9%,31.6%,86.4%,9.1%,71.3%,4.5%,15.1%,0.0%,640,85.3%,0.0%,14.7%,571,48.5%,51.5%,14.5%,28.1%,29.8%,12.7%,14.8%,28.9%,25.8%,38.0%,7.3%,HK$27100,HK$16000,HK$9500,HK$30000,HK$17350,HK$11250,48hours,44hours,40hours,48hours,43hours,39hours,36.3%,18.5%,58.8%,8.2%,2.8%,11.7%,(N.A.)–Not available,54.8%,28.4%,16.8%,3.1,73.4%,15.0%,11.6%,HK$55800,HK$28660,HK$17500,HK$55800,HK$26500,HK$17500,56.4,100.0%,0.0%,3.4%,73.1%,23.5%,0.0%,0.0%,3.20rooms,1.03rooms,52m²,46m²,46m²,25.3%,53.2%,21.4%,0.0%,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,89.5%,6.9%,0.0%,3.6%
Tai Po,Tai Po Town Centre,(Tai Po Town Centre) Chung Nga Court - Chung Chun House (Chung Nga Road 1990's private residential buildings)                                                                                                                                                 ,2285,882,7.6%,32.6%,43.5%,16.4%,44.2,45.8,45.2,38.8%,29.3%,97.1%,1.9%,1.0%,67.3%,29.5%,3.2%,16.8%,55.5%,27.7%,46.3%,44.3%,20.0%,27.1%,4.3%,4.3%,1278,93.6%,1.9%,4.5%,1007,19.9%,80.1%,3.6%,25.2%,41.2%,14.8%,15.3%,32.9%,27.8%,18.5%,20.9%,HK$20000,HK$14000,HK$10000,HK$20000,HK$14550,HK$10450,50hours,43hours,40hours,50hours,43hours,40hours,38.8%,34.8%,26.2%,15.3%,1.3%,22.4%,(N.A.)–Not available,71.1%,24.4%,4.4%,2.8,76.7%,10.4%,12.9%,HK$42500,HK$25700,HK$11290,HK$42500,HK$25700,HK$11290,56.1,100.0%,0.0%,18.1%,67.6%,13.1%,1.2%,0.0%,2.97rooms,1.06rooms,45m²,41m²,41m²,16.4%,77.7%,1.4%,4.6%,HK$6000,17.4%,15years,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,90.3%,5.9%,1.8%,2.0%
Tai Po,Tai Po Town Centre,(Tai Po Town Centre) Chung Nga Court - Chung Sin House (Chung Nga Road 1990's private residential buildings)                                                                                                                                                  ,1576,1074,5.6%,29.8%,39.3%,25.3%,50.8,53.5,51.0,29.9%,30.9%,93.5%,6.5%,0.0%,63.2%,33.1%,3.7%,28.4%,45.6%,26.0%,41.3%,25.8%,33.5%,27.1%,6.5%,7.1%,843,88.8%,2.8%,8.3%,733,16.1%,83.9%,5.3%,27.6%,36.9%,6.5%,23.6%,30.7%,24.9%,31.6%,12.8%,HK$20310,HK$15000,HK$10000,HK$20310,HK$15000,HK$10000,54hours,46hours,40hours,54hours,45hours,40hours,40.1%,32.9%,38.2%,15.5%,2.2%,11.2%,(N.A.)–Not available,76.5%,18.0%,5.6%,2.8,67.1%,15.4%,17.4%,HK$32490,HK$22770,HK$11990,HK$32490,HK$22770,HK$11990,62.3,100.0%,0.0%,6.6%,68.2%,21.2%,3.9%,0.0%,3.22rooms,1.16rooms,49m²,38m²,35m²,7.7%,80.4%,7.0%,4.8%,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,91.4%,5.6%,2.9%,0.0%
Tai Po,Tai Po Town Centre,(Tai Po Town Centre) Chung Nga Court - Chung May House (Chung Nga Road 1990's private residential buildings)                                                                                                                                                  ,1666,831,11.4%,30.1%,43.5%,14.9%,45.5,45.7,45.6,37.7%,31.7%,93.9%,0.8%,5.3%,69.6%,28.2%,2.2%,27.4%,53.3%,19.3%,62.9%,21.3%,39.8%,16.3%,5.4%,17.2%,769,97.0%,0.0%,3.0%,897,25.4%,74.6%,8.6%,19.2%,29.4%,15.1%,27.7%,25.1%,45.4%,19.1%,10.4%,HK$18000,HK$14000,HK$10250,HK$18000,HK$14000,HK$10250,55hours,45hours,40hours,51hours,45hours,40hours,25.8%,37.9%,36.4%,12.9%,4.3%,8.6%,(N.A.)–Not available,69.7%,23.3%,7.0%,3.0,76.9%,12.8%,10.3%,HK$37250,HK$21000,HK$11000,HK$37250,HK$20000,HK$11000,56.1,98.4%,1.6%,7.8%,52.9%,35.2%,4.2%,0.0%,3.34rooms,1.11rooms,41m²,38m²,35m²,8.1%,80.3%,7.8%,3.8%,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,94.3%,0.0%,2.4%,3.3%
Tai Po,Tai Po Town Centre,(Tai Po Town Centre) Yee Nga Court - Yee Hau / Yee Dat / Yee Leung House (On Po Road 1990's private residential buildings)                                                                                                                                    ,3048,799,8.4%,31.1%,44.7%,15.8%,51.2,46.6,49.3,30.3%,30.4%,96.5%,1.9%,1.6%,66.7%,26.5%,6.8%,19.8%,52.3%,27.8%,62.4%,29.9%,41.9%,13.5%,14.8%,0.0%,1658,90.2%,0.9%,8.9%,1390,33.6%,66.4%,1.6%,19.7%,39.0%,23.5%,16.3%,18.3%,25.2%,40.0%,16.5%,HK$23000,HK$13580,HK$10000,HK$24500,HK$15000,HK$10000,54hours,45hours,40hours,53hours,44hours,40hours,38.5%,41.3%,28.6%,22.5%,1.3%,6.3%,(N.A.)–Not available,65.3%,25.2%,9.4%,3.0,81.1%,8.7%,10.1%,HK$46210,HK$27400,HK$11000,HK$45900,HK$27400,HK$10240,57.5,100.0%,0.0%,2.9%,50.8%,19.8%,26.5%,0.0%,3.74rooms,1.25rooms,52m²,52m²,37m²,13.7%,76.9%,3.9%,5.6%,HK$6000,11.1%,19years,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,91.5%,5.2%,3.3%,0.0%
Tai Po,Tai Po Town Centre,(Tai Po Town Centre) Yee Nga Court - Yee Shun / Yee Lai House (On Po Road 1990's private residential buildings)                                                                                                                                               ,1832,875,7.8%,28.6%,48.9%,14.7%,49.6,50.0,49.7,31.5%,27.7%,96.6%,1.3%,2.1%,74.8%,22.3%,2.9%,17.1%,54.9%,28.0%,80.6%,19.4%,52.0%,11.1%,17.5%,0.0%,1026,90.8%,7.8%,1.4%,806,29.2%,70.8%,2.6%,36.5%,31.1%,14.6%,15.1%,21.0%,25.7%,35.0%,18.3%,HK$20000,HK$15000,HK$10000,HK$20310,HK$15000,HK$11990,48hours,44hours,40hours,48hours,44hours,40hours,20.5%,40.4%,37.2%,5.2%,5.4%,11.8%,(N.A.)–Not available,77.7%,16.5%,5.9%,2.6,70.1%,13.3%,16.6%,HK$39000,HK$25180,HK$13500,HK$39000,HK$25000,HK$13500,54.8,100.0%,0.0%,2.1%,45.4%,25.2%,27.3%,0.0%,3.78rooms,1.46rooms,60m²,52m²,37m²,22.3%,71.2%,4.4%,2.0%,HK$4400,14.7%,6years,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,91.1%,0.0%,5.7%,3.2%
Tai Po,Tai Po Town Centre,(Tai Po Town Centre) Ming Nga Court - Ming Hoi House (On Po Lane 1980's private residential buildings)                                                                                                                                                        ,1574,863,10.4%,35.6%,45.5%,8.4%,40.7,46.3,43.6,30.3%,25.6%,99.1%,0.0%,0.9%,85.2%,11.7%,3.1%,18.9%,43.7%,37.4%,73.7%,26.3%,54.2%,6.3%,6.3%,6.8%,870,91.7%,1.1%,7.1%,704,25.1%,74.9%,11.3%,44.5%,25.7%,8.6%,9.9%,24.6%,34.8%,25.2%,15.4%,HK$24000,HK$18500,HK$12000,HK$25000,HK$19000,HK$13500,52hours,45hours,40hours,52hours,44hours,40hours,25.2%,31.5%,27.6%,15.9%,1.6%,23.4%,(N.A.)–Not available,78.3%,17.5%,4.2%,2.8,87.6%,1.8%,10.6%,HK$42910,HK$30230,HK$16500,HK$41220,HK$30230,HK$16500,54.2,100.0%,0.0%,24.9%,66.8%,6.0%,2.3%,0.0%,2.86rooms,1.03rooms,37m²,34m²,34m²,18.9%,63.6%,6.7%,10.8%,HK$7000,21.0%,20years,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,76.4%,14.1%,6.6%,2.9%
Tai Po,Tai Po Town Centre,(Tai Po Town Centre) Ming Nga Court - Ming Yan House (On Po Lane 1980's private residential buildings)                                                                                                                                                        ,1110,862,8.6%,26.9%,46.5%,18.0%,48.5,53.4,52.5,38.4%,17.4%,94.8%,1.1%,4.1%,76.5%,19.7%,3.8%,20.2%,46.3%,33.5%,75.7%,16.7%,41.7%,17.4%,0.0%,24.3%,552,90.8%,2.0%,7.2%,558,23.3%,76.7%,11.2%,32.6%,37.0%,9.4%,9.8%,24.6%,36.2%,30.6%,8.5%,HK$26000,HK$18000,HK$10250,HK$26250,HK$19000,HK$12000,52hours,45hours,39hours,50hours,44hours,39hours,17.6%,44.1%,43.4%,3.6%,2.6%,6.2%,(N.A.)–Not available,87.9%,4.2%,7.9%,2.1,42.7%,13.6%,43.7%,HK$30000,HK$21000,HK$5360,HK$30000,HK$20000,HK$5360,59.2,98.3%,1.7%,29.3%,58.6%,12.1%,0.0%,0.0%,2.80rooms,1.34rooms,41m²,37m²,33m²,27.6%,61.2%,4.9%,6.2%,HK$7560,31.4%,15years,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,78.5%,21.5%,0.0%,0.0%
Tai Po,Tai Po Town Centre,(Tai Po Town Centre) Ming Nga Court - Ming Cheong House (On Po Lane 1980's private residential buildings)                                                                                                                                                     ,1493,895,12.8%,35.1%,40.5%,11.6%,37.3,44.3,41.1,32.1%,21.9%,98.1%,0.0%,1.9%,73.6%,22.5%,3.9%,20.6%,47.6%,31.8%,83.1%,16.9%,77.8%,5.3%,0.0%,0.0%,768,90.6%,3.4%,6.0%,725,30.1%,69.9%,11.5%,24.7%,26.7%,15.2%,21.9%,19.8%,38.5%,24.9%,16.8%,HK$25000,HK$15000,HK$10000,HK$28200,HK$15000,HK$10140,55hours,45hours,40hours,54hours,45hours,40hours,26.8%,32.3%,42.3%,13.7%,3.8%,7.9%,(N.A.)–Not available,72.7%,21.2%,6.1%,2.9,89.3%,4.2%,6.5%,HK$36580,HK$22000,HK$14000,HK$36580,HK$22000,HK$14000,55.8,100.0%,0.0%,30.3%,51.7%,12.7%,5.3%,0.0%,2.96rooms,1.01rooms,41m²,37m²,34m²,21.2%,64.0%,10.9%,4.0%,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,78.9%,16.9%,4.2%,0.0%
Tai Po,Tai Po Town Centre,(Tai Po Town Centre) Wang Fuk Court - Wang Yan / Wang Tao / Wang Sun House (Tai Po Road - Yuen Chau Tsai 1980's private residential buildings)                                                                                                                ,1843,871,7.6%,28.7%,38.5%,25.2%,51.9,58.4,57.2,20.9%,17.5%,98.1%,1.1%,0.8%,73.0%,22.5%,4.5%,26.2%,41.3%,32.5%,84.0%,6.9%,44.4%,21.5%,13.9%,13.2%,806,92.3%,2.7%,5.0%,1037,20.1%,79.9%,10.2%,32.3%,30.1%,12.7%,14.8%,19.5%,31.6%,37.7%,11.2%,HK$23750,HK$17150,HK$13000,HK$25000,HK$18000,HK$13000,50hours,45hours,40hours,50hours,44hours,40hours,16.4%,37.0%,43.8%,7.9%,5.7%,5.6%,(N.A.)–Not available,80.1%,14.4%,5.5%,2.5,57.6%,20.3%,22.1%,HK$42500,HK$20000,HK$5000,HK$42500,HK$20000,HK$4490,62.3,99.6%,0.4%,1.5%,63.2%,32.3%,3.1%,0.0%,3.37rooms,1.32rooms,45m²,44m²,42m²,11.0%,75.6%,3.6%,9.7%,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,95.4%,1.6%,1.8%,1.2%
Tai Po,Tai Po Town Centre,(Tai Po Town Centre) Wang Fuk Court - Wang Kin / Wang Tai House (Tai Po Road - Yuen Chau Tsai 1980's private residential buildings)                                                                                                                           ,1305,800,8.4%,28.8%,38.4%,24.4%,55.2,57.3,55.9,32.5%,15.2%,98.4%,1.6%,0.0%,73.6%,22.8%,3.6%,25.7%,51.4%,22.9%,89.8%,0.0%,78.4%,0.0%,0.0%,21.6%,593,94.4%,0.0%,5.6%,712,13.8%,86.2%,13.8%,30.4%,30.7%,8.1%,17.0%,23.4%,32.2%,29.0%,15.3%,HK$30000,HK$18000,HK$12000,HK$30000,HK$18900,HK$13000,50hours,43hours,40hours,50hours,43hours,40hours,20.2%,33.5%,46.8%,7.0%,3.5%,9.2%,(N.A.)–Not available,78.8%,16.9%,4.2%,2.7,71.9%,16.5%,11.6%,HK$45000,HK$26200,HK$10000,HK$45000,HK$26200,HK$10000,60.4,100.0%,0.0%,2.0%,49.9%,41.0%,7.1%,0.0%,3.53rooms,1.29rooms,45m²,44m²,42m²,6.7%,75.7%,4.2%,13.4%,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,92.1%,2.8%,5.1%,0.0%
Tai Po,Tai Po Town Centre,(Tai Po Town Centre) Wang Fuk Court - Wang Cheong / Wang Shing / Wang Chi House (Tai Po Road - Yuen Chau Tsai 1980's private residential buildings)                                                                                                           ,1826,747,10.0%,31.4%,37.3%,21.3%,51.9,48.3,49.3,17.8%,24.5%,95.6%,1.8%,2.6%,74.6%,19.8%,5.6%,17.2%,46.0%,36.9%,63.7%,24.8%,44.6%,18.5%,6.4%,5.7%,886,95.3%,0.0%,4.7%,940,18.6%,81.4%,10.4%,39.8%,34.7%,7.4%,7.7%,24.2%,35.3%,31.5%,9.0%,HK$28500,HK$19000,HK$12000,HK$28500,HK$20000,HK$14000,49hours,44hours,38hours,49hours,44hours,35hours,17.4%,40.8%,40.8%,4.0%,1.2%,13.2%,(N.A.)–Not available,77.2%,18.2%,4.6%,2.7,73.2%,13.8%,12.9%,HK$45000,HK$25500,HK$9450,HK$45000,HK$25500,HK$9000,59.1,97.9%,2.1%,5.5%,53.6%,35.1%,5.8%,0.0%,3.40rooms,1.26rooms,44m²,42m²,42m²,12.6%,74.3%,7.3%,5.8%,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,85.9%,5.4%,8.8%,0.0%
Tai Po,Tai Po Town Centre,(Tai Po Town Centre) 1980-2000's private residential buildings                                                                                                                                                                                                ,1400,897,19.4%,30.6%,41.5%,8.5%,44.2,38.3,39.5,37.2%,24.7%,89.0%,8.2%,2.8%,65.0%,29.5%,5.5%,13.2%,38.4%,48.4%,75.2%,16.9%,60.7%,3.1%,19.3%,0.0%,668,88.9%,5.1%,6.0%,732,44.8%,55.2%,12.9%,45.7%,23.1%,6.9%,11.5%,17.2%,31.0%,41.8%,10.0%,HK$35000,HK$16800,HK$12000,HK$35000,HK$20000,HK$14500,50hours,44hours,40hours,49hours,44hours,39hours,35.1%,19.8%,37.3%,11.3%,4.7%,27.0%,(N.A.)–Not available,56.8%,29.5%,13.7%,3.1,76.5%,8.7%,14.8%,HK$53900,HK$34370,HK$13960,HK$53900,HK$34370,HK$13700,51.3,100.0%,0.0%,8.0%,49.1%,18.0%,24.9%,0.0%,3.63rooms,1.17rooms,64m²,48m²,37m²,26.5%,49.1%,24.4%,0.0%,HK$10980,18.6%,25years,HK$14800,27.5%,70.3%,14.1%,11.6%,4.0%
Tai Po,Tai Po Town Centre,(Tai Po Town Centre) village houses / houses / villas                                                                                                                                                                                                         ,4202,913,14.4%,32.2%,43.2%,10.2%,43.3,41.5,42.1,28.4%,27.7%,87.0%,5.9%,7.1%,71.2%,17.4%,11.4%,12.8%,52.4%,34.9%,74.1%,13.8%,20.7%,14.1%,16.6%,34.8%,2073,83.6%,7.1%,9.3%,2129,37.1%,62.9%,12.6%,32.7%,25.2%,5.5%,24.1%,24.2%,25.1%,36.4%,14.3%,HK$27000,HK$15500,HK$10000,HK$28000,HK$17250,HK$12750,50hours,44hours,40hours,48hours,43hours,40hours,38.6%,28.5%,22.1%,8.7%,6.5%,34.3%,(N.A.)–Not available,60.2%,26.8%,13.0%,3.1,63.9%,17.8%,18.3%,HK$57180,HK$28000,HK$13050,HK$57180,HK$28000,HK$13000,52.2,95.3%,4.7%,17.1%,22.6%,39.0%,21.3%,0.0%,3.84rooms,1.23rooms,65m²,62m²,37m²,21.1%,35.6%,35.1%,8.3%,HK$8700,14.5%,10years,HK$6000,28.4%,59.9%,15.1%,19.7%,5.3%
Tai Po,Tai Po Town Centre,(Tai Po Town Centre) Fu Heng Estate - Heng Yue House (Chung Nga Road 1990's residential buildings)                                                                                                                                                            ,1469,891,4.2%,41.3%,47.7%,6.9%,46.3,45.6,46.0,43.9%,39.8%,97.0%,3.0%,0.0%,66.6%,32.7%,0.6%,23.1%,53.3%,23.6%,40.2%,29.1%,29.6%,30.7%,5.0%,5.6%,875,92.1%,1.1%,6.7%,594,22.9%,77.1%,1.1%,19.0%,31.3%,16.3%,32.2%,22.5%,37.3%,19.4%,20.8%,HK$15500,HK$13000,HK$9500,HK$15500,HK$13000,HK$9500,48hours,45hours,40hours,48hours,45hours,40hours,30.6%,27.3%,48.3%,17.8%,0.3%,6.3%,(N.A.)–Not available,58.7%,41.3%,0.0%,3.0,83.0%,1.8%,15.2%,HK$40450,HK$21500,HK$12770,HK$40450,HK$21500,HK$12770,54.9,100.0%,0.0%,45.6%,48.7%,5.7%,0.0%,0.0%,2.45rooms,0.81rooms,33m²,33m²,30m²,0.8%,61.2%,38.0%,0.0%,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,HK$1200,5.7%,96.0%,0.0%,4.0%,0.0%
